step,train_loss,train_ppl,val_loss,val_ppl,lr,epoch,tok_per_sec,vram_gb,elapsed_sec
12450,3.7389,42.1,,,0.00016756505738041842,,49941,15.64,8232.4
12500,3.9832,53.7,3.9413,51.5,0.0001667100954246114,,44887,15.64,8268.9
12550,3.8651,47.7,,,0.00016585506486388064,,49791,15.64,8301.8
12600,3.4909,32.8,,,0.00016499999999999997,,49854,15.64,8334.6
12650,3.8703,48.0,,,0.0001641449351361193,,49990,15.64,8367.4
12700,4.0661,58.3,,,0.00016328990457538858,,49779,15.64,8400.3
12750,3.8249,45.8,3.8976,49.3,0.0001624349426195815,,45329,15.64,8436.5
12800,4.3567,78.0,,,0.00016158008356771962,,49926,15.64,8469.3
12850,3.8423,46.6,,,0.0001607253617146961,,50304,15.64,8501.9
12900,3.8528,47.1,,,0.0001598708113499002,,50297,15.64,8534.4
12950,3.9985,54.5,,,0.00015901646675584125,,50020,15.64,8567.2
13000,3.8773,48.3,3.975,53.2,0.00015816236220677376,,46206,15.64,8602.7
13050,3.9158,50.2,,,0.00015730853196732205,,50452,15.64,8635.1
13100,3.9213,50.5,,,0.000156455010291106,,50242,15.64,8667.7
13150,4.0259,56.0,,,0.00015560183141936635,,50394,15.64,8700.2
13200,4.0081,55.0,,,0.00015474902957959177,,50467,15.64,8732.7
13250,4.3122,74.6,3.9492,51.9,0.00015389663898414486,,46702,15.64,8767.8
13300,4.0141,55.4,,,0.00015304469382889047,,50487,15.64,8800.2
13350,3.9118,50.0,,,0.00015219322829182317,,49748,15.64,8833.2
13400,3.995,54.3,,,0.00015134227653169666,,49745,15.64,8866.1
13450,3.8092,45.1,,,0.0001504918726866529,,50171,15.64,8898.8
13500,3.3805,29.4,3.9832,53.7,0.00014964205087285298,,46431,15.64,8934.1
13550,3.7714,43.4,,,0.00014879284518310823,,50054,15.64,8966.8
13600,3.5412,34.5,,,0.00014794428968551256,,50233,15.64,8999.4
13650,3.8148,45.4,,,0.0001470964184220757,,50461,15.64,9031.9
13700,3.4017,30.0,,,0.0001462492654073577,,50483,15.64,9064.3
13750,3.7061,40.7,3.9418,51.5,0.0001454028646271039,,46687,15.64,9099.4
